first_name,last_name,variant,state,purchase_freq,is_in_another_exp,result
Bulah,Slusarski,A,TX,high,0,0
Ciara,Eroman,B,OH,low,1,0
Blair,Palaia,A,TX,low,0,0
Lavonna,Mcrae,A,NJ,medium,0,0
Sabra,Knipp,A,CA,low,0,0
Heike,Craghead,B,GA,low,0,1
Levi,Delasancha,B,PA,low,0,0
Luisa,Paa,A,ME,low,1,0
Dick,Klusman,A,NJ,high,0,0
Matthew,Lungren,A,NC,low,0,0
Tasia,Kannady,B,IL,low,1,0
Adell,Jillson,B,MN,low,1,0
Marguerita,Rim,B,FL,low,0,0
Barbra,Kohnert,A,FL,low,0,0
Olive,Emard,A,TX,low,0,1
Sheron,Bubash,A,MN,low,0,0
Junita,Klimek,A,DC,low,0,0
Barbra,Stem,A,NJ,medium,0,0
Amie,Maclead,B,ME,low,1,0
Annelle,Abdallah,B,TX,low,1,0
Youlanda,Herritt,A,NJ,medium,0,0
Glendora,Upthegrove,B,CA,low,0,0
Jenelle,Restrepo,A,NJ,low,0,0
Natalie,Coody,A,CO,low,1,0
Billye,Vanausdal,A,OH,low,0,0
Raul,Kusko,B,PA,low,0,0
Fannie,Tolfree,B,LA,low,0,0
Nieves,Pawlowicz,B,MI,high,0,0
Rory,Greenbush,A,VA,low,0,0
Sabra,Pagliuca,B,PA,low,0,0
Elly,Mugnolo,A,MD,low,0,1
Tresa,Wardrip,B,IL,low,1,0
Bok,Gotter,A,CA,low,0,1
Elza,Haroldson,A,CA,low,0,0
Ilene,Stenseth,A,OH,low,0,0
Felicidad,Kohnert,B,CA,medium,0,0
Lili,Karpin,A,TX,low,0,0
Jamal,Arceo,B,MD,low,0,0
Gearldine,Tillotson,B,NJ,low,0,0
Loreta,Miro,B,RI,medium,0,1
Haydee,Corbley,A,FL,low,1,0
Staci,Kolmetz,B,GA,medium,0,0
Mollie,Setter,B,IL,low,0,0
Lai,Arceo,A,NJ,low,0,0
Jina,Kannady,A,AK,low,0,0
Sabra,Rowling,B,NJ,medium,0,0
Daren,Rentfro,A,OH,low,0,0
Elli,Schemmer,A,MA,low,0,0
Alline,Fern,B,CA,low,1,0
Lettie,Vanheusen,B,NY,medium,0,1
Minna,Canlas,B,CA,low,0,0
Jettie,Smith,A,TX,low,0,0
Maile,Paskin,A,TN,low,1,0
Malinda,Discipio,B,VA,low,0,0
Lindsey,Paa,A,PA,low,0,0
Yoko,Abdallah,B,PA,low,0,0
Jani,Dorshorst,B,PA,low,0,0
Gail,Rowling,B,MI,low,1,0
Alesia,Corrio,A,OH,low,1,0
Hillary,Gudroe,B,MA,low,0,0
Carissa,Vizarro,A,MI,low,0,0
Jess,Tolfree,B,TX,low,0,0
Ryan,Treston,B,CA,low,0,0
Chanel,Jeanty,A,NC,low,0,0
Laurel,Fortino,A,CA,low,0,0
Penney,Riopelle,B,CA,medium,1,0
Chaya,Klimek,B,KY,low,0,0
Karl,Wenner,B,AR,low,0,0
Fernanda,Matuszak,A,OR,low,0,0
Candida,Karpel,B,MI,low,0,0
Hillary,Wiklund,B,CA,high,0,1
Gary,Maybury,A,CA,low,0,0
Martina,Nestle,B,NJ,medium,0,0
Devorah,Dopico,A,NJ,low,0,0
Brock,Halter,B,MD,low,0,1
Lorean,Tolfree,A,TN,low,1,0
Stephen,Saylors,B,FL,medium,0,0
Elza,Merced,A,CO,low,0,0
Margart,Bolognia,A,FL,low,0,0
Mitsue,Arceo,B,NM,low,0,0
Samira,Andreason,A,TX,high,0,0
Roxane,Cloney,A,MO,low,0,0
Willard,Inouye,A,CA,high,1,0
Jaclyn,Fishburne,B,CA,medium,0,1
Lorrine,Bubash,A,NJ,low,0,0
Quentin,Slusarski,B,CA,low,0,0
Tasia,Palaia,A,NY,low,0,0
Glenna,Varriano,B,WA,low,0,0
Ciara,Kines,A,MD,low,0,0
Natalie,Buzick,B,FL,low,0,0
Edna,Hidvegi,A,AK,low,1,0
Stephane,Meisel,B,NE,low,0,0
Johnetta,Bennick,A,AZ,low,0,0
Sharika,Hanafan,B,NY,low,0,0
Mozell,Gibes,A,CA,low,1,0
Cristy,Samu,A,OH,low,1,0
Melodie,Dorshorst,B,UT,low,0,0
Pete,Karpin,B,MI,medium,0,0
Carmelina,Loder,B,NC,low,0,0
Catalina,Melnyk,A,OH,low,0,0
Venita,Keener,B,NC,low,0,0
Mozell,Lindall,B,TX,low,0,0
Jolene,Pedrozo,A,MA,low,1,0
Jenelle,Spickerman,A,NJ,low,0,0
Venita,Vizarro,A,MN,high,1,0
Cyndy,Hughey,A,OH,low,0,0
Rodolfo,Shin,A,OH,low,0,0
Latrice,Nievas,B,TX,low,0,0
Allene,Yaw,A,CA,high,0,0
Tracey,Duenas,B,PA,low,1,1
Moon,Hixenbaugh,B,RI,low,0,0
Sharika,Malet,B,OH,low,0,0
Abel,Nicolozakes,B,PA,low,0,0
Leonora,Martabano,B,WI,low,1,0
Aliza,Nicka,A,ME,low,0,0
Regenia,Varriano,A,NY,low,0,0
Gayla,Oles,A,PA,low,0,0
Goldie,Nabours,A,CA,low,0,0
Alex,Rantanen,A,CA,low,1,0
Laticia,Shields,A,FL,low,1,0
Louisa,Mondella,B,MD,high,0,0
Deeanna,Newville,A,NC,low,0,0
Lorean,Angalich,B,MI,medium,0,0
Elouise,Keneipp,A,MN,low,0,0
Carlee,Vinning,A,AK,low,1,0
Lindsey,Tomasulo,A,IL,low,0,0
Josephine,Lietz,A,AZ,low,0,0
Alishia,Kownacki,A,MO,high,0,0
Rozella,Parlato,A,PA,low,0,0
Shonda,Sawchuk,A,MN,low,0,0
Solange,Kitzman,A,FL,low,0,0
Felix,Brachle,A,NJ,high,0,0
Glory,Kardas,A,MI,low,0,0
Vincenza,Kohl,A,MS,high,0,0
Eun,Batman,B,TX,low,0,0
Ceola,Slusarski,A,CO,medium,0,0
Donte,Tomasulo,B,CA,low,0,0
Annabelle,Luczki,A,NJ,low,0,0
Carin,Haroldson,B,NC,low,1,0
Elza,Nayar,A,NY,medium,0,0
Myra,Similton,B,CT,low,1,0
Lenna,Julia,A,FL,low,0,0
Erinn,Stem,B,HI,low,0,0
Jutta,Devreese,B,PA,low,0,0
Cristy,Dickerson,A,NJ,low,0,0
Alpha,Sama,A,MD,low,1,0
Arlene,Sengbusch,B,NY,low,0,1
Youlanda,Schnitzler,A,NJ,low,0,0
Junita,Acey,B,NJ,low,0,1
Nickolas,Coody,A,TX,low,1,0
Kristofer,Canlas,B,MA,medium,0,0
Venita,Wide,A,AK,low,1,0
Jess,Ostolaza,A,LA,low,1,0
Peggie,Regusters,B,CA,medium,0,0
Fernanda,Palaspas,A,PA,low,0,0
Peggie,Oles,B,CA,low,0,0
Daron,Moyd,A,CA,low,0,0
Ilene,Amyot,B,CA,low,0,0
Mollie,Karpel,A,WI,low,0,0
Brett,Bartolet,A,OH,low,0,0
Josphine,Tawil,A,AR,low,0,0
Sherita,Duenas,B,NJ,medium,0,0
Arlette,Schemmer,A,CA,low,0,0
Beatriz,Sama,A,TN,low,0,0
Elly,Perez,A,CA,low,0,0
Alyce,Coody,B,CA,low,0,0
Merissa,Tegarden,B,OH,low,0,0
Benedict,Nunlee,A,VA,low,0,1
Laurel,Dilliard,A,FL,low,0,0
Ciara,Lace,B,CA,low,1,0
Elvera,Menter,B,GA,low,0,0
Oretha,Caldarera,A,CT,low,0,0
Detra,Sturiale,B,ID,low,0,0
Kenneth,Arceo,A,FL,low,1,1
Jutta,Maile,B,MA,medium,0,0
Deeanna,Ahle,B,PA,medium,0,0
Alishia,Dilello,A,FL,low,1,0
Kenneth,Pinilla,B,CA,low,0,0
Devora,Mauson,A,IL,low,0,0
Markus,Meinerding,A,NJ,low,0,0
Allene,Andreason,A,AZ,low,0,0
Norah,Kownacki,B,MA,low,0,0
Glory,Reitler,A,NY,low,0,1
Aja,Yori,A,TX,low,0,1
Moon,Rodenberger,A,OR,low,0,0
Mirta,Vanausdal,B,PA,low,0,0
Laurel,Morocco,B,FL,low,0,0
Trinidad,Chaffins,A,CA,low,1,0
Bette,Nicolozakes,B,CA,low,1,0
Franklyn,Liukko,A,LA,low,1,0
Gregoria,Mconnell,B,MD,low,0,1
Skye,Padilla,A,CA,high,0,0
Antione,Fillingim,A,WI,medium,0,0
Junita,Iturbide,B,MA,medium,0,0
Kanisha,Limmel,A,NY,low,1,0
Raylene,Bubash,A,CA,low,0,0
Ezekiel,Setter,B,GA,low,0,0
Joni,Stem,B,TX,medium,1,0
Alline,Klusman,B,NY,low,1,0
Allene,Oldroyd,B,FL,low,0,1
Rickie,Skursky,A,CA,low,0,0
Elvera,Hamilton,A,CA,medium,0,0
Angella,Fredicks,A,TX,low,1,0
Hillary,Gillian,B,CA,high,0,0
Hubert,Degonia,B,PA,low,0,0
Bernardo,Gwalthney,B,FL,low,0,0
Glenn,Nicolozakes,A,MD,low,0,0
Raina,Spickerman,B,MA,high,0,0
Kanisha,Madarang,A,PA,low,0,0
Kanisha,Wolny,B,FL,low,0,0
Barbra,Klimek,A,TN,low,0,0
Becky,Caiafa,A,VA,low,0,1
Cecilia,Loader,B,MI,low,0,0
Natalie,Staback,A,TX,low,0,1
Caprice,Gotter,B,NJ,low,0,1
Eun,Zurcher,A,MD,low,0,0
Alaine,Gleich,A,CA,low,0,0
Evangelina,Caiafa,B,TN,low,0,1
Erick,Kohl,B,CA,low,0,0
Eden,Monarrez,B,CA,high,0,0
Sharen,Baltimore,A,WI,low,0,1
Viva,Garufi,A,MI,high,0,0
Raylene,Stockham,A,CA,low,0,0
Talia,Chaffins,A,NY,low,0,0
Terrilyn,Castros,B,TN,low,0,0
Tammara,Harabedian,A,PA,low,0,0
Sylvie,Maclead,A,MD,low,0,1
Jesusa,Perin,A,FL,low,1,0
Tasia,Brossart,A,MI,low,0,0
Josephine,Regusters,A,FL,low,0,1
Derick,Darakjy,A,TN,low,0,0
Glenna,Pontoriero,A,OH,low,0,0
Fatima,Mcdoniel,A,AZ,low,1,0
Malinda,Gobern,B,MA,low,0,0
Eden,Schoeneck,A,NY,low,1,0
Rhea,Inouye,A,IN,low,0,0
Ettie,Aquas,A,CA,low,0,1
Clay,Lukasik,B,SC,low,0,0
Salena,Yglesias,B,NJ,medium,0,0
Elza,Nicka,B,AK,low,0,0
Lai,Haufler,B,PA,low,0,0
Willard,Ruta,B,MD,low,0,0
Lai,Zepp,A,MI,low,0,1
Kristofer,Blackwood,A,OH,low,0,0
Renea,Dickerson,B,FL,low,0,0
Gail,Kiel,A,TN,medium,0,0
Jerry,Riden,B,MN,low,0,0
Lezlie,Regusters,B,NJ,medium,1,0
Kayleigh,Wrinkles,B,CA,low,0,0
Kerry,Frerking,B,NY,medium,0,0
Carin,Martabano,B,CA,low,0,0
Deonna,Klonowski,B,NY,low,0,0
Lavonna,Hoffis,A,LA,low,0,0
Laticia,Spickerman,A,GA,low,0,0
Shawnda,Rodenberger,B,NJ,low,0,0
Dalene,Brucato,B,NY,low,0,0
Dean,Slusarski,A,NY,low,1,0
Mitsue,Fern,A,OR,low,0,0
Jerry,Isaacs,B,CA,low,0,0
Kris,Arias,B,TX,medium,0,0
Glen,Nestle,B,AK,low,1,0
Jani,Hudnall,B,FL,low,0,0
Tracey,Amigon,A,IL,low,0,0
Evangelina,Tawil,A,WA,high,0,0
Jaclyn,Shields,B,PA,low,1,0
Venita,Nunlee,A,CA,low,0,0
Melodie,Eschberger,A,OH,low,0,0
Jettie,Birkner,A,MI,low,0,0
Lashaunda,Sturiale,B,AZ,low,0,0
Laurel,Nievas,B,NJ,low,1,0
Wilda,Syrop,A,NE,low,0,1
Colette,Sweigard,A,IL,low,0,0
Tracey,Shealy,B,TX,low,0,0
Brittni,Corrio,A,VA,medium,0,0
Felicidad,Hauenstein,A,PA,low,0,1
Kenneth,Chesterfield,A,NY,low,0,0
Linn,Auber,A,AK,low,0,1
Jeanice,Kownacki,A,MA,low,0,0
Sabra,Breland,B,PA,low,1,0
Leota,Royster,A,CA,low,0,0
Rikki,Hudnall,A,CA,high,0,0
Regenia,Coody,A,WI,low,0,0
Micaela,Heintzman,A,NY,low,0,0
Nobuko,Zepp,B,NY,low,0,0
Cammy,Kiel,B,CA,low,0,0
Blair,Yori,A,AZ,low,0,0
Natalie,Aquas,B,NY,low,0,0
Justine,Glick,B,RI,low,0,0
Ozell,Rochin,A,FL,low,0,0
Shonda,Newville,A,CA,medium,0,0
Yvonne,Schirpke,B,NC,low,1,0
Gladys,Klang,B,OH,high,0,0
Jovita,Lipke,A,PA,low,0,0
Chantell,Burnard,B,IL,medium,1,0
Willodean,Dickerson,A,AK,low,0,1
Cyril,Tagala,A,CA,low,0,1
Denise,Restrepo,B,IL,low,1,0
Eladia,Raymo,A,NJ,low,1,0
Cyril,Discipio,B,NY,low,1,0
Chaya,Ahle,B,MD,low,1,0
Bernardine,Ostolaza,A,AZ,high,0,1
Luisa,Paskin,A,OH,low,1,0
Graciela,Karpin,A,NJ,low,0,0
Gracia,Smith,B,CO,low,1,0
Joseph,Schirpke,A,MD,low,0,1
Avery,Pawlowicz,B,ME,low,0,0
Brett,Foller,B,FL,low,1,0
Nicolette,Perruzza,A,KS,medium,1,0
Clorinda,Weglarz,B,CA,low,0,0
Candida,Gellinger,B,NJ,low,0,0
Catalina,Rauser,B,WI,low,0,0
Jovita,Palaspas,A,MD,low,0,0
Kaitlyn,Ostolaza,A,MI,low,0,0
Larae,Kardas,A,OR,low,0,0
Thurman,Grenet,B,NY,low,0,0
Jina,Vizarro,A,CA,medium,0,0
Willodean,Chaffins,A,FL,low,0,1
Bernardine,Nabours,B,TX,low,0,0
Arminda,Vinning,A,MD,low,0,0
Tasia,Hochard,A,NC,low,0,0
Lavonna,Kampa,B,WI,low,0,0
My,Wenzinger,B,FL,low,1,0
Glory,Acuff,B,OH,low,0,0
Lashawnda,Hiatt,B,CO,low,0,0
Raymon,Dickerson,A,PA,low,0,0
Whitley,Julia,B,PA,low,0,0
Ty,Baltimore,B,NY,medium,0,0
Melodie,Dhamer,B,NM,low,1,0
Jaclyn,Kulzer,B,CA,low,1,0
Erick,Meinerding,B,IN,low,0,0
Kimbery,Ryser,A,MN,low,0,1
Lorrie,Ahle,A,NY,low,0,1
Christiane,Lungren,B,PA,low,0,0
Aja,Monterrubio,B,TX,medium,0,0
Vi,Canlas,B,CA,low,1,1
Virgie,Syrop,B,IN,low,0,0
Amie,Dubaldi,B,NC,low,0,0
Cristy,Nabours,A,FL,medium,0,0
Jutta,Shinko,A,CA,low,1,0
Thurman,Bitsuie,B,LA,medium,0,0
Dorthy,Rim,A,TX,medium,0,0
Alex,Emigh,B,NC,low,0,0
Annmarie,Jacobos,B,TX,low,1,0
Latrice,Padilla,B,MS,medium,0,0
Audra,Aquas,A,FL,low,0,0
Yvonne,Kardas,B,NJ,low,0,0
Hoa,Waymire,A,MA,low,0,0
Jerry,Eroman,A,LA,low,1,0
Rozella,Montezuma,A,WA,low,0,0
Renea,Stenseth,A,WY,low,0,0
Jolanda,Modzelewski,A,TX,low,0,0
Glendora,Goldammer,A,CA,low,0,0
Mona,Sergi,B,NJ,low,0,0
Jaclyn,Pontoriero,B,CA,low,0,0
Raul,Kippley,A,FL,high,0,0
Lavera,Vanausdal,B,KS,low,0,0
Bernardine,Colla,A,SD,medium,0,0
Penney,Moyd,A,FL,low,1,0
Shonda,Semidey,A,VA,medium,0,0
Skye,Meisel,A,NY,low,0,0
Quentin,Reitler,A,CA,low,0,0
Kallie,Paskin,A,WI,low,0,0
Dyan,Varriano,B,CA,high,0,0
Lonna,Bennick,A,TX,low,0,0
Barrett,Biddy,B,AK,low,0,0
Lashaunda,Engelberg,B,FL,low,1,0
Andra,Hollack,A,NJ,low,0,0
Moon,Corrington,A,IA,medium,0,0
Vallie,Seewald,B,NY,low,1,0
Jovita,Samu,A,TX,low,0,0
Danica,Sama,B,NV,low,0,0
Detra,Perez,B,TN,low,0,0
Xochitl,Chaffins,A,NY,medium,0,1
Sharee,Lindall,A,OR,medium,0,0
Kattie,Sweely,B,CA,low,0,0
Laurel,Wieser,B,MO,low,0,0
Vallie,Mirafuentes,B,OH,low,0,0
Natalie,Albares,A,NY,low,0,0
Cory,Kohl,A,NJ,low,0,0
Nelida,Hollack,B,MI,low,0,0
Raina,Myricks,B,MI,low,0,0
Jenelle,Rhoden,A,AK,low,1,0
Rory,Fritz,B,MN,low,0,0
Lucy,Tagala,B,OR,medium,0,0
Ciara,Waymire,A,NJ,low,1,1
Mattie,Blunk,B,UT,low,0,0
Jennifer,Galam,A,LA,low,0,0
Lorrine,Funnell,B,MI,low,0,0
Georgene,Jacobos,B,MI,low,0,0
Lenna,Jillson,A,WA,medium,0,0
Dalene,Fortino,B,NY,low,0,0
Stephen,Cloney,B,CA,low,0,0
Sharika,Kolmetz,A,CA,low,0,0
Wynell,Vinning,B,CA,low,0,0
Clay,Stuer,A,NC,low,1,0
Lezlie,Deleo,B,OH,low,0,0
Xuan,Berlanga,A,OH,medium,1,0
Glory,Emard,A,CA,low,0,0
Margart,Chavous,B,NY,low,0,0
Willow,Syrop,A,OH,low,1,0
Carma,Bolognia,A,MN,low,0,0
Trinidad,Drymon,A,LA,low,0,0
Clorinda,Fern,A,PA,low,0,0
Adelina,Monarrez,B,ID,low,0,0
Hoa,Barfield,A,AK,low,0,0
Penney,Haroldson,B,CA,medium,0,0
Rory,Louissant,B,IN,low,0,0
Arlette,Ferrario,B,MI,low,0,1
Mitsue,Wenner,B,NY,low,0,1
Lonny,Delasancha,B,WA,medium,0,0
Stephen,Madarang,A,NJ,low,0,0
Viva,Gesick,A,OH,high,0,0
Bulah,Foller,A,NJ,low,0,0
Carmela,Loader,A,CA,low,0,0
Renea,Sarao,A,GA,low,1,0
Cammy,Wenzinger,B,WA,medium,0,0
Carmen,Tolfree,B,CA,low,0,0
Justine,Yaw,A,MI,low,1,0
Terrilyn,Rhym,B,NJ,medium,0,0
Fannie,Upthegrove,B,PA,low,0,0
Hoa,Munis,A,WI,low,0,0
Janine,Cork,A,MN,low,1,0
Rodolfo,Colaizzo,A,CA,low,0,0
Nickolas,Brachle,A,AZ,low,1,0
Aliza,Kiel,A,NJ,low,0,0
Cherry,Merced,B,NJ,low,1,0
Helaine,Deleo,A,NY,low,0,0
Cristy,Gillian,A,LA,low,0,1
Paris,Mccullan,B,NJ,low,0,1
Dorthy,Lietz,A,NJ,low,0,0
Lai,Jillson,B,AZ,low,1,0
Lonny,Tromblay,A,MD,medium,0,0
Cordelia,Paa,B,CA,low,1,0
Josphine,Wieser,B,VA,low,0,0
Regenia,Reitler,B,MI,low,0,0
Ozell,Tagala,A,MI,low,0,0
Audry,Mcnease,A,NJ,low,1,0
Jaclyn,Blunk,A,GA,medium,0,0
Herminia,Mirafuentes,A,CA,medium,0,0
Kayleigh,Briddick,B,WA,low,1,0
Barrett,Daufeldt,A,KY,low,0,0
Jenelle,Bevelacqua,A,DC,low,0,0
Noah,Colla,B,SC,low,0,0
Glen,Gesick,A,TX,low,0,0
Tawna,Theodorov,A,NJ,low,0,0
Barbra,Tromblay,A,MI,low,0,0
Mariann,Gehrett,B,NJ,low,0,0
Benedict,Eroman,B,MI,low,1,0
Kallie,Seewald,B,TX,low,0,0
Dierdre,Gotter,B,MD,low,0,0
Whitley,Hollack,B,WA,low,0,0
Yolando,Shin,A,MA,low,0,0
Daren,Plumer,A,NJ,medium,0,1
Blair,Tillotson,A,OR,low,0,0
Weldon,Rhoden,B,MD,low,0,0
Clay,Ryser,B,NY,medium,0,0
Cyril,Kippley,B,MA,low,0,0
Abel,Pelkowski,B,NJ,high,0,0
Nobuko,Funnell,A,NY,low,1,0
Audra,Pelkowski,A,MI,low,0,0
Weldon,Ragel,A,GA,low,1,1
Cory,Motley,A,OH,low,1,0
Fletcher,Keetch,A,VA,low,1,0
Kenneth,Stockham,A,CA,medium,0,0
Truman,Yum,A,FL,low,0,0
Marge,Linahan,B,FL,low,0,0
Britt,Giguere,B,OH,low,0,0
Jesusa,Setter,B,CA,medium,0,1
Glen,Hamilton,A,FL,low,0,0
Lavonda,Lapage,B,AZ,low,1,0
Kallie,Hochard,B,MI,low,0,0
Thurman,Turinetti,B,VA,low,0,0
Skye,Cloney,A,NY,low,0,0
Celeste,Farrow,B,CA,low,0,0
